name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
pool1_10.odyssee.net,9,9,9,9,387420489,81,183,183,183,183,230175877545254387712,1647,1204,3985,9006.555556,40310,351084972369337111926854524076032,81059
pool4_15.odyssee.net,0,0,8.444444,19,0,76,218,218,223.333333,230,1377824211722146938880,2010,509,786,4696.444444,17688,121053974595661408612388962304,42268
pool4_6.odyssee.net,17,17,17,17,24137569,102,206,206,206,206,76419346977856,1236,669,786,2502.333333,7096,1859203001008761344,15014
pool64.maple.net,22,22,22,22,54875873536,176,205,205,205,205,3119111417625390592,1640,3635,4209,7887,18556,540457294438731415699740164096,63096
porsche.gatech.edu,17,17,17,17,1419857,85,188,188,187.8,188,233600088832,939,1204,3998,186857.2,887988,135429014381819674624,934286
port-013.dial.net.nyu.edu,10,10,11.222222,21,2100000000,101,183,183,183.111111,184,231433669225829564416,1648,18149,4538,9550.888889,18149,52880837868920445900573147318452224,85958
port-2-18.access.one.net,11,11,11,11,2357947691,99,241,241,241,241,2742542606093287161856,2169,0,0,5644.222222,46053,0,50798
port07.fishnet.net,7,7,7,7,40353607,63,185,185,185,185,253831523037259792384,1665,363,1204,6721.222222,40310,358464267866088720711259521024,60491
port1.cos2-annex.usa.net,5,5,5,5,15625,30,209,209,209,209,83344647990241,1254,7280,5866,3707.333333,7280,59341716730180681728,22244
port128.iwaynet.net,13,13,13,13,10604499373,117,216,216,216,216,1023490369077469249536,1944,1204,1204,7431.333333,46053,477524615139541679043973742592,66882
port2.aixdialin.siu.edu,9,9,9,9,43046721,72,186,186,186,186,1432529432742502656,1488,40310,12054,14119.5,40310,1593511470793485257240865669120,112956
port29.ts2.msstate.edu,15,15,15,15,170859375,105,227,227,227,227,31058537410917804,1589,509,527,3009.714286,17688,541675564801908604928,21068
port31.tserver2.ucf.edu,6,6,10.25,23,24681024,82,182,182,182.5,184,1230450009414406144,1460,0,0,2501.75,7074,0,20014
port33.cos2-annex.usa.net,13,13,13,13,815730721,104,218,218,218,218,5100960362726891520,1744,1204,3260,5788.25,18149,8132830378184339467117002752,46306
port39.cos1-annex.usa.net,18,18,18,18,198359290368,162,241,241,241,241,2742542606093287161856,2169,2653,7008,37294,245760,166650898295205379782575026251759616,335646
portb10.chattanooga.net,17,17,17,17,118587876497,153,216,216,216,216,1023490369077469249536,1944,363,1414,6309,25218,1429398721130543071958545727488,56781
portb29.chattanooga.net,8,8,8,8,262144,48,193,193,193,193,51682540549249,1158,4247,4247,15180.333333,46573,23270878002314976690176,91082
porti.interl.net,10,10,10.333333,11,1210000,62,186,186,186,186,41407371740736,1116,1204,7074,5910,11853,4038815636045745881088,35460
powerzone.usc.edu,10,10,10,10,1000000000,90,205,205,205,205,639417840613205082112,1845,1173,3635,9726.111111,49199,454754229256399333414521519734784,87535
ppp-07-nerdc-ts4.nerdc.ufl.edu,0,0,0,0,0,0,208,208,208,208,80980417183744,1248,234,786,2517.166667,7185,1882521640677557760,15103
ppp-2-11.iadfw.net,14,14,14,14,1475789056,112,186,186,186,186,1432529432742502656,1488,9867,9867,9030.25,25218,4455006400068470276106485760,72242
ppp-4-29.iadfw.net,22,22,22,22,1207269217792,198,185,185,185,185,253831523037259792384,1665,40310,3985,14181,40310,3425324232402011501647912845180928,127629
ppp-71-15.bu.edu,13,13,13,13,10604499373,117,195,195,195,195,407672580388201168896,1755,46573,1204,7445.888889,46573,441201524057723198812385705984,67013
ppp-82-22.bu.edu,10,10,9.666667,10,810000,58,203,203,203,203,69980368892329,1218,891,46033,33268,90755,760176577391152819339264,199608
ppp-822-1-1.netnet.net,5,5,5,5,390625,40,241,241,241,241,11379844838561357824,1928,1204,4209,10960.25,44877,641135005060175111754927308800,87682
ppp-c-189.pinn.net,21,21,21,21,37822859361,168,238,238,238,238,10294746488738365440,1904,9630,4441,6891.375,25218,986709150458228464160866304,55131
ppp-mia-43.shadow.net,12,12,12,12,429981696,96,189,189,189,189,1628150074335205376,1512,2537,12859,14852.75,57344,47655041566959107740730371604480,118822
ppp-mia-71.shadow.net,13,13,12.714286,13,53466192,89,198,198,194,198,10302950121412608,1358,0,0,0,0,0,0
ppp-mia-75.shadow.net,9,9,9,9,387420489,81,216,216,216,216,1023490369077469249536,1944,7034,669,4531.888889,18936,0,40787
ppp0.atlantic.net,21,21,21,21,85766121,126,185,185,185,185,40089475140625,1110,3089,3985,10238,40310,5660297426692859756544,61428
ppp06-07.rns.tamu.edu,12,12,12,12,5159780352,108,229,229,229,229,1731886157602686238720,2061,9866,1414,6309,25218,1429398721130542790483569016832,56781
ppp1-03.inre.asu.edu,17,17,17,17,4913,51,183,183,183,183,6128487,549,221184,45966,91594.666667,221184,77614448541696,274784
ppp1-11.inre.asu.edu,21,21,21,21,794280046581,189,230,230,230,230,1801152661462999891968,2070,25218,1414,6309,25218,1429398721130543071958545727488,56781
ppp1-247.ganet.net,16,16,13.8,18,414720,69,182,205,198,216,300679797600,990,3258,5086,7179.6,17688,0,35898
ppp13.global1.net,16,16,16,16,268435456,112,239,239,239,239,44543599279432080,1673,71655,36902,37879.428571,71655,3761887863891941046205206757376,265156
ppp147.scott.net,18,18,18,18,612220032,126,235,235,235,235,39579931286171872,1645,5866,786,3380.285714,8657,16074706613749533376512,23662
ppp15.basenet.net,14,14,14,14,7529536,84,186,186,186,186,41407371740736,1116,40310,4464,15176.5,40310,27354396703483070775296,91059
ppp15.neocomm.net,18,18,18,18,104976,72,188,188,188,188,1249198336,752,3998,3998,11574.5,40310,152512212306720,46298
ppp188-64.fla.net,19,19,19,19,2476099,95,231,231,231,231,657748550151,1155,509,515,3949.6,17688,1243747264302840,19748
ppp21.basenet.net,8,8,11.714286,21,14450688,82,201,201,206.714286,221,16023774865289840,1447,669,786,1486.571429,5866,405046343090118459392,10406
ppp23.mis.net,20,20,20.111111,21,537600000000,181,196,196,196,196,426878854210636742656,1764,669,3381,108538.777778,946425,71458945604408797401797816745984,976849
ppp24.pacificrim.net,22,22,22.142857,23,2607737792,155,217,217,217,217,22657820762815272,1519,509,509,2858.714286,17688,0,20011
ppp3-32.ganet.net,20,20,20,20,25600000000,160,238,238,238,238,10294746488738365440,1904,0,0,3384.75,19338,0,27078
ppp3389.wing.net,21,21,21,21,4084101,105,198,198,198,198,304316815968,990,18114,4209,7763.4,18114,0,38817
ppp48.modems.uoknor.edu,23,23,23,23,529,46,184,184,184,184,33856,368,12290,12290,12172,12290,148143660,24344
ppp55.satcom.net,1,1,1,1,1,8,224,224,224,224,6338465731314712576,1792,1204,4673,9368.625,46053,37258325805578669212531949568,74949
ppp56.ns.net,16,16,17.714286,22,507510784,124,236,236,231.714286,236,35755640511958016,1622,1713,3381,5738.285714,12560,10009685632568656652140544,40168
ppp8.igs.net,1,1,1,1,1,4,242,242,242,242,3429742096,968,786,4347,6481.25,20484,21556471283424,25925
ppp9.accesscom.net,13,13,13,13,28561,52,182,182,182,182,1097199376,728,4538,4538,20174,70834,1146550785664656,80696
pppl2-5.dialup.unt.edu,23,23,23,23,6436343,115,189,189,189,189,241162079949,945,75486,4943,31183,75486,0,155915
pretzel.stsci.edu,6,6,6,6,1296,24,242,242,242,242,3429742096,968,786,8677,5630,11853,97330042903464,22520
pslip074.ksc-fl.ids.net,17,17,17,17,4913,51,192,192,192,192,7077888,576,7067,4247,5120.666667,7067,121494846352,15362
pslip121.egr-ri.ids.net,5,5,5,5,390625,40,237,237,237,237,9953750901796947968,1896,4441,4441,6893.625,25218,988553466627309394246762496,55149
ptpm005.olympus.net,14,14,14,14,20661046784,126,187,187,187,187,279624009566694309888,1683,2537,7008,12292.222222,49152,0,110630
ptpm018.olympus.net,7,7,7,7,7,7,226,226,226,226,226,226,57344,57344,57344,57344,57344,57344
pub-73.atalk.stolaf.edu,19,19,19,19,130321,76,230,230,230,230,2798410000,920,13583,4209,6025.75,13583,556115693189220,24103
puhep1.princeton.edu,19,19,19,19,893871739,133,185,185,185,185,7416552901015625,1295,117170,3985,57206.571429,200053,100609718634542504562294521856,400446
purta-mac.mac.cc.cmu.edu,12,12,12,12,2985984,72,200,200,200,200,64000000000000,1200,5866,786,2498.166667,7071,1852652821326515200,14989
quip.eecs.umich.edu,10,10,10,10,1000000000,90,205,205,205,205,639417840613205082112,1845,18556,3635,7180.888889,18556,482892672868924259702024345485312,64628
rabbit.byu.edu,12,12,12,12,5159780352,108,187,187,187,187,279624009566694309888,1683,31242,31242,27136.666667,66202,5189973443110225314129936109977731072,244230
randolf.schsr.unc.edu,6,6,6,6,10077696,54,186,186,186,186,266450474490105495552,1674,13372,1414,6309.111111,25218,1429543602411825155169442594816,56782
rcummins.ppp.cyberenet.net,9,10,9.5,10,65610000,76,183,205,194,205,1980705023943800832,1552,2522,3258,6193.875,18149,23269074649193659385031688192,49551
reidks.tor.hookup.net,20,20,20,20,400,40,195,195,195,195,38025,390,3564,65576,34570,65576,233712864,69140
relkin.isr.syr.edu,10,10,10,10,100,20,194,194,194,194,37636,388,64557,64557,39471,64557,928652445,78942
richbuhj.ca.sunycentral.edu,11,11,11,11,121,22,187,187,187,187,34969,374,1204,1713,1458.5,1713,2062452,2917
richsun11.gatech.edu,13,13,13,13,10604499373,117,223,223,223,223,1363778273695777685504,2007,363,1404,28457,152676,34837011940853605587231285706752,256113
rlb6000.scs.uiuc.edu,13,13,13,13,10604499373,117,207,207,207,207,697803444867646881792,1863,20271,2537,26650.444444,174455,6040690415302502750293617195089920,239854
rocinante.mcrcim.mcgill.edu,13,13,13,13,4826809,78,240,240,240,240,191102976000000,1440,5866,786,2501.166667,7089,1857368950697732352,15007
