name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
slip168-204.sy.au.ibm.net,18,18,18,18,18,18,232,232,232,232,232,232,7131,7131,7131,7131,7131,7131
slip168-71.sy.au.ibm.net,23,23,23,23,23,23,237,237,237,237,237,237,5866,5866,5866,5866,5866,5866
slip169-10.sy.au.ibm.net,4,4,4,4,4,4,238,238,238,238,238,238,12859,12859,12859,12859,12859,12859
slip174-204.wl.nz.ibm.net,2,2,2,2,2,2,241,241,241,241,241,241,308,308,308,308,308,308
slip177-72.kw.jp.ibm.net,7,7,7,7,7,7,242,242,242,242,242,242,13583,13583,13583,13583,13583,13583
slip180.hk.super.net,20,20,20,20,20,20,185,185,185,185,185,185,3985,3985,3985,3985,3985,3985
slip183-1.kw.jp.ibm.net,5,5,5,5,5,5,206,206,206,206,206,206,11853,11853,11853,11853,11853,11853
slip2.stgeorge.tcd.net,8,8,8,8,8,8,194,194,194,194,194,194,7062,7062,7062,7062,7062,7062
slip216.hk.super.net,6,6,6,6,6,6,231,231,231,231,231,231,1204,1204,1204,1204,1204,1204
slip27.hk.super.net,3,3,3,3,3,3,202,202,202,202,202,202,46573,46573,46573,46573,46573,46573
slip3-195.fl.us.ibm.net,8,8,8,8,8,8,208,208,208,208,208,208,9630,9630,9630,9630,9630,9630
slip3-202.fl.us.ibm.net,20,20,20,20,20,20,205,205,205,205,205,205,234,234,234,234,234,234
slip30.ice.net,7,7,7,7,7,7,190,190,190,190,190,190,14120,14120,14120,14120,14120,14120
slip34-206.il.us.ibm.net,18,18,18,18,18,18,229,229,229,229,229,229,5866,5866,5866,5866,5866,5866
slip37-139.il.us.ibm.net,19,19,19,19,19,19,198,198,198,198,198,198,3723,3723,3723,3723,3723,3723
slip37-198.il.us.ibm.net,19,19,19,19,19,19,219,219,219,219,219,219,1687,1687,1687,1687,1687,1687
slip37-222.il.us.ibm.net,18,18,18,18,18,18,223,223,223,223,223,223,5866,5866,5866,5866,5866,5866
slip37.gulf.net,17,17,17,17,17,17,185,185,185,185,185,185,61490,61490,61490,61490,61490,61490
slip38-14.il.us.ibm.net,14,14,14,14,14,14,203,203,203,203,203,203,8678,8678,8678,8678,8678,8678
slip4-212.fl.us.ibm.net,13,13,13,13,13,13,190,190,190,190,190,190,3258,3258,3258,3258,3258,3258
slip4-5.mountain.net,15,15,15,15,15,15,192,192,192,192,192,192,530,530,530,530,530,530
slip4.island.net,16,16,16,16,16,16,230,230,230,230,230,230,7008,7008,7008,7008,7008,7008
slip5-199.fl.us.ibm.net,17,17,17,17,17,17,189,189,189,189,189,189,14977,14977,14977,14977,14977,14977
slip50-1.ca.us.ibm.net,23,23,23,23,23,23,201,201,201,201,201,201,13994,13994,13994,13994,13994,13994
slip50-129.ca.us.ibm.net,12,13,12.5,13,156,25,202,202,202,202,40804,404,4179,84905,44542,84905,354817995,89084
slip6.cei.net,22,22,22,22,22,22,237,237,237,237,237,237,13372,13372,13372,13372,13372,13372
slip7-5.fl.us.ibm.net,22,22,22,22,22,22,188,188,188,188,188,188,9630,9630,9630,9630,9630,9630
slip80-143.ma.us.ibm.net,8,8,8,8,8,8,183,183,183,183,183,183,234,234,234,234,234,234
slip96-66.tx.us.ibm.net,16,16,16,16,16,16,184,184,184,184,184,184,34029,34029,34029,34029,34029,34029
sol-p1-51.alaska.net,13,13,13,13,13,13,183,183,183,183,183,183,945,945,945,945,945,945
srmc.tiac.net,17,17,17,17,17,17,194,194,194,194,194,194,0,0,0,0,0,0
srs.surf.tach.net,5,5,5,5,5,5,193,193,193,193,193,193,786,786,786,786,786,786
starmet.tyrell.net,11,11,11,11,11,11,187,187,187,187,187,187,5866,5866,5866,5866,5866,5866
stc1-1.nas.mr.net,17,17,17,17,17,17,183,183,183,183,183,183,3635,3635,3635,3635,3635,3635
stemmons08.onramp.net,7,7,7,7,49,14,241,241,241,241,58081,482,13372,13372,7288,13372,16099888,14576
stemmons20.onramp.net,8,8,8,8,8,8,183,183,183,183,183,183,3635,3635,3635,3635,3635,3635
stemmons27.onramp.net,21,21,21,21,21,21,232,232,232,232,232,232,0,0,0,0,0,0
stemmons34.onramp.net,18,18,18,18,18,18,227,227,227,227,227,227,81920,81920,81920,81920,81920,81920
stockyard17.onramp.net,21,21,21,21,21,21,213,213,213,213,213,213,1173,1173,1173,1173,1173,1173
tc1_19.teclink.net,16,16,16,16,16,16,238,238,238,238,238,238,127045,127045,127045,127045,127045,127045
term05.vol.net,5,5,5,5,5,5,201,201,201,201,201,201,786,786,786,786,786,786
term20.vol.net,5,5,5,5,5,5,243,243,243,243,243,243,18149,18149,18149,18149,18149,18149
thedave-ppp.clark.net,17,17,17,17,17,17,186,186,186,186,186,186,18149,18149,18149,18149,18149,18149
thimble-d221.sierra.net,9,9,9,9,9,9,226,226,226,226,226,226,8677,8677,8677,8677,8677,8677
tpafl-13.gate.net,17,17,17,17,17,17,195,195,195,195,195,195,1204,1204,1204,1204,1204,1204
tpafl-22.gate.net,0,0,0,0,0,0,190,190,190,190,190,190,957,957,957,957,957,957
tpafl-24.gate.net,8,8,8,8,8,8,183,183,183,183,183,183,40310,40310,40310,40310,40310,40310
trexro-ppp.clark.net,17,17,17,17,17,17,185,185,185,185,185,185,30067,30067,30067,30067,30067,30067
tristate.pgh.net,11,11,11,11,11,11,190,190,190,190,190,190,4943,4943,4943,4943,4943,4943
ts00-ind-25.iquest.net,10,10,10,10,10,10,227,227,227,227,227,227,2537,2537,2537,2537,2537,2537
ts01-ind-18.iquest.net,9,9,9,9,9,9,188,188,188,188,188,188,21957,21957,21957,21957,21957,21957
ts02-ind-23.iquest.net,13,13,13,13,13,13,232,232,232,232,232,232,527,527,527,527,527,527
ts02-ind-28.iquest.net,22,22,22,22,22,22,208,208,208,208,208,208,155648,155648,155648,155648,155648,155648
ts1-01.inforamp.net,23,23,23,23,23,23,202,202,202,202,202,202,1932,1932,1932,1932,1932,1932
ts1-06.inforamp.net,16,16,16,16,16,16,197,197,197,197,197,197,0,0,0,0,0,0
ts1-and-24.iquest.net,8,8,8,8,8,8,183,183,183,183,183,183,363,363,363,363,363,363
ts1.cdsnet.net,22,22,22,22,22,22,241,241,241,241,241,241,786,786,786,786,786,786
ts1_port25.planet.eon.net,22,22,22,22,22,22,195,195,195,195,195,195,1204,1204,1204,1204,1204,1204
ts3-02.inforamp.net,16,16,16,16,16,16,197,197,197,197,197,197,0,0,0,0,0,0
ts3-12.inforamp.net,9,9,9,9,81,18,206,206,206,206,42436,412,18149,18149,18149,18149,329386201,36298
ts5-14.inforamp.net,21,21,21,21,21,21,186,186,186,186,186,186,40310,40310,40310,40310,40310,40310
tty10ee.netropolis.net,20,20,20,20,20,20,232,232,232,232,232,232,3381,3381,3381,3381,3381,3381
tty10i.netropolis.net,17,17,17,17,17,17,244,244,244,244,244,244,13372,13372,13372,13372,13372,13372
ttyua.tyrell.net,19,19,19,19,19,19,183,183,183,183,183,183,3258,3258,3258,3258,3258,3258
turnpike02.onramp.net,22,22,22,22,22,22,192,192,192,192,192,192,4209,4209,4209,4209,4209,4209
turnpike35.onramp.net,13,13,13,13,13,13,194,194,194,194,194,194,1204,1204,1204,1204,1204,1204
unicompt304.unicomp.net,15,15,15,15,15,15,230,230,230,230,230,230,3714,3714,3714,3714,3714,3714
unix.trilogy.net,5,5,5,5,5,5,183,183,183,183,183,183,3985,3985,3985,3985,3985,3985
usr12-dialup12.atlanta.mci.net,17,17,17,17,17,17,240,240,240,240,240,240,3826,3826,3826,3826,3826,3826
usr12-dialup39.atlanta.mci.net,5,5,5,5,5,5,230,230,230,230,230,230,1204,1204,1204,1204,1204,1204
